,site,product,lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline
397,Saldanha Bay,SACTN,17.950626,-33.010543,138,9012,9015,9015,4,2013-09-03,2013-09-06,2013-09-06,-1.1015,-1.2781,0.2423,-4.4061,-0.5194,-0.7045,0.2458,-2.0778,13.125,13,0.25,52.5,-0.0345,-1.2781
398,Saldanha Bay,SACTN,17.950626,-33.010543,139,9019,9025,9029,11,2013-09-10,2013-09-16,2013-09-20,-1.3235,-2.6508,0.8841,-14.5583,-0.7803,-2.0965,0.8784,-8.5835,13.2886,12,0.8139,146.175,-0.2698,-0.1791
399,Saldanha Bay,SACTN,17.950626,-33.010543,140,9048,9048,9050,3,2013-10-09,2013-10-09,2013-10-11,-1.0772,-1.537,0.4813,-3.2315,-0.5485,-1.0062,0.4805,-1.6455,14.5,14,0.5,43.5,-1.0393,-0.3913
400,Saldanha Bay,SACTN,17.950626,-33.010543,141,9068,9068,9073,6,2013-10-29,2013-10-29,2013-11-03,-1.2492,-1.8868,0.5364,-7.495,-0.7665,-1.4096,0.5432,-4.5993,15.25,14.5,0.6124,91.5,-1.8868,-0.3189
401,Saldanha Bay,SACTN,17.950626,-33.010543,142,9105,9108,9108,4,2013-12-05,2013-12-08,2013-12-08,-1.7314,-2.9476,0.8129,-6.9258,-1.1752,-2.4006,0.8192,-4.7008,16.15,15,0.7681,64.6,-0.6148,-2.4543
402,Saldanha Bay,SACTN,17.950626,-33.010543,143,9120,9122,9122,3,2013-12-20,2013-12-22,2013-12-22,-0.568,-0.6076,0.0403,-1.7041,-0.0926,-0.1409,0.0484,-0.2777,18,18,0,54,-0.0411,0.0362
403,Saldanha Bay,SACTN,17.950626,-33.010543,144,9141,9141,9144,4,2014-01-10,2014-01-10,2014-01-13,-1.163,-2.9254,1.1968,-4.6521,-0.5433,-2.3191,1.2044,-2.1732,17.75,16,1.1902,71,-0.4981,-0.5813
404,Saldanha Bay,SACTN,17.950626,-33.010543,145,9156,9157,9159,4,2014-01-25,2014-01-26,2014-01-28,-1.7131,-2.7145,0.8133,-6.8525,-1.0298,-2.029,0.8151,-4.1193,17,16,0.8165,68,-0.6584,-0.8042
405,Saldanha Bay,SACTN,17.950626,-33.010543,146,9192,9193,9196,5,2014-03-02,2014-03-03,2014-03-06,-1.8448,-2.3796,0.3454,-9.2242,-1.1098,-1.6508,0.3428,-5.5492,16,15.5,0.3536,80,-0.9646,-0.2495
406,Saldanha Bay,SACTN,17.950626,-33.010543,147,9204,9208,9213,10,2014-03-14,2014-03-18,2014-03-23,-1.6143,-2.2965,0.5842,-16.1435,-0.9033,-1.584,0.5831,-9.0329,15.65,15,0.5798,156.5,-0.1216,-0.0976
407,Saldanha Bay,SACTN,17.950626,-33.010543,148,9263,9263,9265,3,2014-05-12,2014-05-12,2014-05-14,-1.2273,-1.4214,0.3128,-3.6819,-0.5817,-0.7806,0.317,-1.7451,13.1667,13,0.2887,39.5,-1.9714,-0.3273
408,Saldanha Bay,SACTN,17.950626,-33.010543,149,9270,9271,9278,9,2014-05-19,2014-05-20,2014-05-27,-1.2059,-1.7147,0.3313,-10.8529,-0.562,-1.0742,0.3336,-5.058,12.9444,12.5,0.3005,116.5,-0.6436,-0.088
